word,meaning,synonyms
 exonerate,absolve from blame for wrongdoing/ release from duty,
 implicit,suggested though not directed expressed expressed/ always to be found in/ absolute,
 phlegmatic,unemotional and stolidly calm disposition/ self-controlled,
 propensity,natural tendency to behave in a particular way,
 foment,instigate or stir up,
 embellish,decorate/ make more interesting by adding extra details,
 inviolate,free or safe from injury or violation,
 renege,"go back on a promise, undertaking, or contact",
 arresting,eye-catching /seize/ attract the attention/ stop or check,
 obstinate,very difficult to change or overcome,
 vivacious,attractively lively and animated,
 histrionic,dramatic behavior designed to attract attention,
 prodigious,remarkably great in extent size or degree,
 tentative,"provisional/ not certain or fixed, hesitant",
 falter,lose strength or momentum/ move hesitantly,
 chastise,"rebuke or reprimand severely, punish",
 intermittent,"sporadic, not continuous or steady",
 profound,very great or intense/ showing great knowledge,
 propagate,reproduce / spread or promote,
 allusive,using or containing suggestion rather than explicit mention,
 glib,fluent but insincere and shallow,
 curb,restrain or check on something,
 lull,make someone feel deceptively secure or confident/ calm,
 mettlesome,"full of spirit and courage, lively",
 astute,shrewd,
 fawn,give a servile display of exaggerated flattery or affection,
 precipitous,dangerously high or steep/ done suddenly or without careful consideration,
 repercussion,unintended consequence of an event or action,
 regress,return to a former or less developed state,
 refute,"disprove, deny or contradict",
 replenish,"fill something up again, restore",
 evoke,bring or recall/ elicit(response)/ invoke,
 ire,anger,
 languid,having or showing disinclination for physical effort/ weak from illness or fatigue,
 mollify,appease the anger or anxiety/ reduce the severity,
 pretentious,"ostentatious, attempting to impress by affecting greater important or merit than is actually possessed",
 duress,"threats, violence, constraint or other action used to coerce someone into doing something",
 vigilant,keeping careful watch for possible danger and difficulties,
 headstrong,energetically willful and determined,
 convalescent,recovering from illness or medical treatment,
 nonplussed,so surprised and confused that one is unsure how to act,
 fret,visibly anxious / gradually wear away by rubbing / flow in waves,
 decry,publicly denounce,
 recourse,source of help in difficult situation/ legal right to demand compensation,
 commence,begin,
 neutralize,"counteract, offset, counterbalance",
 exorcise,completely remove from one's mind or memory(unpleasant),
 finicky,"fussy about their needs, greater attention to detail",
 assail,attack/ trouble/ criticize strongly,
 contravene,offend against the prohibition/ conflict with,
 reiterate,"repeat, typically for emphasis or clarity",
 poignant,keen sense of sadness or regret,
 inundate,overwhelm with things or people to be dealt with flood,
 oblivion,unaware,
 ironclad,covered or protected with iron,
 plaintive,sounding sad and mournful,
 surmount,overcome difficulty/ stand on top of,
 escalate,"increase rapidly, make more intense or serious",
 denounce,publicly declare to be wrong/ inform against,
 foil,prevent from succeeding/ frustrate the efforts,
 deviate,depart from an established course,
 buoyant,cheerful and optimistic/ (economy) engaged in successful trade on activity / floating,
 benevolent,well-meaning and kindly,
 intertwine,connect or link closely/ twist or twine together,
 berate,scold or criticize angrily,
 quiescent,in a state or period of inactivity or dormancy,
 mercurial,subject to sudden or unpredictable changes of mood or mind,
 despotic,"of or typical of a despot, tyrannical/ autocratic",
 perpetrate,"carry out or commit (harmful, illegal or immoral action)",
 subsume,include or absorb in something else,
 subside,"become less intense, violent or severe/go down to a lower or the normal level",
 condone,accept (behavior that is considered morally wrong),
 tangential,relating to or along a tangent/ diverging from a previous course or line,
 jeopardize,"threaten, endanger",
 disinterested,unbiased,
 buttress,support/ increase the strength of or justification for,
 bereft,deprived of or lacking (something)/ sad and lonely,
 frailty,weak and delicate/ weakness in character or morals,
 disentangle,free from something that they are entangled with,
 pomposity,the quality of being pompous; self-importance,
 delineate,describe or portray precisely/ indicate the exact,
 conclusive,(of evidence or argument) having or likely to have the effort of proving a case,
 vitality,the state of being strong and active; energy,
 steadfast,"resolutely or dutifully firm and unwavering, loyal",
 archetype,a very typical example of a certain person or thing,
 relent,become less severe and intense,
 grievance,unfair treatment,
 harangue,a lengthy and aggressive speech,
 auspicious,"conductive to success, favorable",
 yield,produce or provide/ surrender/ give way under force or pressure,
 appropriate,proper/ seize/ devote to a special purpose,
 rhetoric,the art of effective or persuasive speaking or writing,
 conspire,make secret plans jointly,
 whimsical,playfully fanciful/ acting in a capricious manner,
 proxy,the authority to represent someone else,
 sparse,"thinly dispersed or scattered, in short supply",
 adverse,"preventing success, harmful",
 exhort,strongly encourage or urge,
 poise,"graceful, composure and dignity of manner",
 adept,very skilled at something,
 tedious,"too long, slow or dull",
 rigor,a sudden feeling of cold with shivering accompanied by a rise in temperature,
 articulate,ability to speak fluently/ jointed segments,
 suspect,doubt the genuineness,
 play,cunning plan/ an activity done for amusement,
 captious,tending to find fault or raise petty objections,
 lugubrious,looking or sending sad and dismal,
 transcend,go beyond the range/ surpass,
 flustered,make (someone) agitated or confused,
 incidental,occurring by chance/ happening as a result/ less important,
 axiomatic,self-evident or unquestionable,
 macabre,disturbing because concerned with or causing a fear of death,
 gullible,"easily persuaded to believe something, credulous",
 ingrained,firmly fixed or established/ difficult to change,
 tacit,"understood or implied without being stated, implicit",
 exorbitant,unreasonably high (of price or amount),
 serene,"calm, peaceful and untroubled, tranquil",
 treatise,a written work dealing formally and systematically with a subject,
 corporeal,"relating to a person's body especially as opposed to their spirit, (law) consisting of material objects",
 figurative,"departing from a literal use of words, metaphorical",
 morose,sullen and ill-tempered,
 fickle,changing frequently especially as regard one's loyalties or affections/ capricious,
 ramification,a complex or unwelcome consequence of an action,
 eclectic,"deriving ideas, style or taste from a broad and diverse range of sources",
 apprehensive,anxiety or fear that something bad will happen,
 idiosyncratic,peculiar or individual,
 insolent,showing a rude and arrogant lack of respect,
 ardent,very enthusiastic or passionate,
 doctrinaire,"dogmatic, rigid seeking to impose a doctrine in all circumstances without regard to practical considerations",
 officious,intrusively enthusiastic in offering help or advice/ interfering,
 cease,come or bring to an end,
 lavish,very generous or extravagant/ rich,
 conductive,having the property of conducting something,
 equanimity,"calmness and composure, especially in a difficult situation",
 supplant,supersede and replace,
 lampoon,"publicly criticize someone by using ridicule, irony or sarcasm",
 bombastic,"high-sounding but with little meaning, inflated",
 lambaste,criticize harshly,
 undercut,offer goods or services at a lower price than competitor,
 euphemism,polite term/ coy term,
 turpitude,depraved of wicked behavior or character,
 peccadillo,a relatively minor fault or sin,
 antagonistic,cause to become hostile,
 barren,unproductive/ infertile/ lifeless,
 philistine,hostile or indifferent to culture and arts,
 relegate,assign an inferior rank or position to,
 dirge,"a lament for the dead, especially one forming part of a funeral rite",
 imperturbable,"unable to be upset or excited, calm",
 excoriate,criticize severely / remove part of the surface of skin,
 curmudgeon,"a bad-tempered person, especially an old one",
 swindle,use deception to deprive (someone) of money or possessions,
 wheedle,use flattery or coaxing in order to persuade someone to do something or give one something,
 sentimental,"prompted by feeling of tenderness, sadness or nostalgia",
 miscreant,a person who has done something wrong or unlawful,
 implacable,unable to be appeased or placated,
 haughty,arrogantly superior and disdainful,
 estimable,worthy of great respect,
 tangible,perceptible by touch/ clear and definite,
 chary,"wary, cautiously or suspiciously reluctant to do something",
 repugnant,unacceptable / in conflict or incompatible with,
 xenophobic,having or showing a dislike against people from other counties/ racist,
 squander,waste in a reckless manner,
 cajole,persuade to do something by flattery,
 unalloyed,pure/ complete and unreserved,
 heady,intoxicating / having a strong or exhilarating effect,
 exigent,"pressing, demanding",
